OBJNAME,GAIADR2ID,2MASSID,RV,RV_REF,TEFF,TEFF_REF,ALIASES,CHECKED,FOUND,FOUND_MANUAL,COMMENTS
HD154363B,4364480521350598144,,,,,,HD_154363B|LHS   432|BD-04  4226|CCDM J17051-0504B|Ci 20 1018|GCRV  9854|GEN# +1.00154363B|GEN# +9.80019014|GEN# -0.00404226|G  19-14|GJ   654|GSC 05072-00347|HD 154363B|HIC  83599|HIP  83599|IDS 16597-0456 B|JP11   250|Karmn J17052-050|LFT 1317|LPM 626|LTT  6824|2MASS J17051383-0505385|NC 42|NLTT 44131|NSV  8176|PLX 3880|PLX 3880.00|PM 17026-0502|PM J17052-0505|StKM 2-1292|TYC 5072-1232-1|UBV   14389|UBV   14407|UBV M   5159|UBV   14410|UCAC2  30040735|UCAC4 425-069319|UGP 425|WDS J17050-0504B|WEB 14140|WISEA J170513.16-050550.7|Wolf  636|Zkh 240|[RHG95]  2692|Gaia DR2 4364480521350598144|Gaia DR1 4364855828476735232,FALSE,FALSE,TRUE,
GL905,1926461164913660160,,,,,,GL905|GJ   905|ASCC  451737|Ci 20 1445|CSI+43-23394|CSI+43-23394  1|CSV   5777|GAT 1360|GCRV 14848|GEN# +6.10010905|GEN# +9.80171010|G 171-10|G 190-42|IRAS 23394+4354|JP11  5182|Karmn J23419+441|LFT 1816|LHS   549|LSPM J2341+4410|LTT 16985|2MASS J23415498+4410407|NLTT 57692|8pc 316.00|PLX 5736|PLX 5736.00|PM 23394+4355|PM J23419+4410|RAFGL  905|Ross  248|1RXS J234155.0+441047|UBV M  42997|USNO 275|USNO 908|USNO-B1.0 1341-00523884|V* HH And|WEB 20625|WISEA J234155.15+441022.1|Zkh 353|[FS2003] 1203|[GKL99] 454|[RHG95]  3743|Gaia DR2 1926461164913660160,FALSE,FALSE,TRUE,
V830TAU,147831571737487488,,,,,,V830TAU|2MASS J04331003+2433433|XEST 04-016|[GBA2007] 1542|2E  1085|GSC 01833-00843|HBC 405|IRAS C04301+2427|NAME WK X-2|NAME WK X-Ray 2|TAP 46|V* V830 Tau|WK81 2|[FK83] LDN 1529 18|[MWF83] P4|Gaia DR2 147831571737487488|SSTc2d J043310.0+243343|1E 0430.2+2459|1RXS J043309.8+243359|1SWASP J043310.02+243343.7|2E 0430.1+2427|2RXP J043310.3+243345|SSTtau 043310.0+243343|[LLQ2015] TMO 35|GBS-VLA J043310.04+243343.1|WISE J043310.03+243343.1|EPIC 247822311,FALSE,FALSE,TRUE,
LKCA15,144936836795636864,,,,,,LKCA15|** KSA   25A|WDS J04393+2221Aa|WDS J04393+2221A|** LKCA   15Aa|2MASS J04391779+2221034|EM* LkCa   15|GSC 01278-00193|HBC 419|IRAS 04363+2215|IRAS F04363+2215|V* V1079 Tau|Gaia DR2 144936836795636864|JCMTSE J043917.7+222102|JCMTSF J043917.7+222102|PSCz Q04363+2215|AKARI-IRC-V1 J0439178+222103|UCAC2  39617972|TYC 1278-193-1|WISE J043917.79+222103.3|SSTtau 043917.7+222103|WISE J043917.80+222103.3|EPIC 247520207,FALSE,FALSE,TRUE,
CITAU,145203159127518336,,,,,,CITAU|2MASS J04335200+2250301|[ABG2007] 1602|XEST 17-OM-066|XEST 17-058|[GBA2007] 1658|AN  119.1925|CSI+22-04309|GCRV 55186|GEN# +6.20078061|HBC  61|Haro 6-25|IRAS 04308+2244|IRAS F04308+2244|MHA 259-20|SV* SVS    64|SV* ZI   296|UBV    4378|V* CI Tau|[OMK98] 32|Gaia DR2 145203159127518336|UCAC2  39798018|AKARI-IRC-V1 J0433519+225030|WISE J043352.01+225030.0|SSTtau 043352.0+225030|EPIC 247584113,FALSE,FALSE,TRUE,
GJ1111,703790044252850688,,,,,,GJ1111|Karmn J08298+267|PLX 2016.0|LSPM J0829+2646|UCAC2  41191231|2MASS J08294949+2646348|USNO-B1.0 1167-00167383|8pc 275.80|G  51-15|GEN# +9.80051015|GJ  1111|JP11  5934|JP11  5935|LHS   248|LTT 18058|NLTT 19635|PM 08269+2657|USNO 311|V* DX Cnc|Zkh 118|[GKL99] 181|[RHG95]  1326|PLX 2016.01|UCAC4 584-042341|PM J08298+2646|Gaia DR2 703790044252850688,FALSE,FALSE,TRUE,
GJ3470,654687847820642560,,,,,,GJ3470|Karmn J07590+153|Cl* Melotte   25    EGG      29|LSPM J0759+1523|USNO-B1.0 1053-00160863|GJ  3470|LP  424-4|NLTT 18739|[RHG95]  1255|Gaia DR2 654687847820642560|2MASS J07590587+1523294|UCAC4 527-044913|PM J07590+1523,FALSE,FALSE,TRUE,
TWA7,5444751795151480320,,,,,,TWA7|WISE J104230.01-334016.4|2MASS J10423011-3340162|GSC 07190-02111|TYC 7190-2111-1|1RXS J104230.3-334014|RX J104230.3-334014|ASAS J104230-3340.3|V* CE Ant|TWA 7|TWA 7A|Gaia DR2 5444751795151480320,FALSE,FALSE,TRUE,
GL338B,1022456104850892928,,,,,,GL338B|Karmn J09144+526|PM J09144+5241|ASCC  253742|2MASS J09142485+5241118|LSPM J0914+5241E|USNO-B1.0 1426-00239093|8pc 159.48B|ADS  7251 B|AG+52  753|AGKR  8302|BD+53  1321|CCDM J09144+5241B|G 195-18|GC 12728|GCRV  6030|GEN# +1.00079211|GJ   338 B|HD  79211|HIC 120005|HIP 120005|IDS 09078+5307 B|JP11  1781|LAL 18115|LFT  635|LHS   261|LTT 12426|NLTT 21251|PPM  32060|RBS   755|SAO  27179|SKY# 17825|TYC 3806-1819-1|UBV    8825|YZ  52  3335|YZC 26  3335|Zkh 126|[GKL99] 198|[RHG95]  1452|uvby98 100079211|1RXS J091424.4+524118|RX J0914.4+5241|[ZEH2003] RX J0914.4+5241  2|WDS J09144+5241B|** STF 1321B|UCAC4 714-048102|StKM 2-552|Gaia DR1 1022456100555749632|WEB  8638|Gaia DR2 1022456104850892928,FALSE,FALSE,TRUE,
TWA13A,5399220743767211776,,,,,,TWA13A|2MASS J11211723-3446454|TWA 13A|TWA 13N|[SAC99] RX J1121.3-3447N|[TDQ2000] TRX 16N|CD-34  7390A|WDS J11213-3447A|ASAS J112117-3446.8|V* V547 Hya|UCAC4 277-059985|** SWR  110A|Gaia DR2 5399220743767211776,FALSE,FALSE,TRUE,
GJ3622,3757613049856225792,,,,,,GJ3622|Karmn J10482-113|GJ  3622|LHS   292|LP  731-58|NLTT 25392|USNO 835|[GKL99] 223|[RHG95]  1679|2MASS J10481258-1120082|2MASSI J1048126-112009|PLX 2516.02|8pc 220.30|USNO-B1.0 0786-00215012|UCAC3 158-112504|UCAC2  27842586|Gaia DR2 3757613049856225792|DENIS J104812.6-112009|WISEA J104813.03-112025.9|UCAC4 394-049480|PM J10482-1120,FALSE,FALSE,TRUE,
GL408,3988987164339438208,,,,,,GL408|PLX 2561|LSPM J1100+2249|ASCC  776322|UCAC2  39850706|2MASS J11000432+2249592|USNO-B1.0 1128-00230478|8pc 150.96|AC +23   468-46|CSI+23-10574|Ci 20  601|G  58-32|G 120-9|G 119-49|GCRV  6797|GEN# +9.80058032|GJ   408|HIC  53767|HIP  53767|LHS  6193|LTT 12942|MCC 128|NLTT 25946|Ross  104|TYC 1978-1286-1|UBV   10057|Zkh 148|[HFE83]  768|[RHG95]  1709|PLX 2561.00|WISEA J110003.93+224955.7|UCAC4 565-047644|StKM 2-688|PM J11000+2249|GALEX 6387874711957667994|WEB  9740|Gaia DR2 3988987164339438208,FALSE,FALSE,TRUE,
GL447,3796072592206250624,,,,,,GL447|Karmn J11477+008|PLX 2730|LSPM J1147+0048|ASCC 1136005|UCAC2  32039206|USNO-B1.0 0908-00204201|2E  2532|8pc 299.58|CSI+01-11451|Ci 20  662|G  10-50|G  11-22|GAT 1132|GCRV  7139|GEN# +6.10010447|GJ   447|GSC 00272-00665|HIC  57548|HIP  57548|IRAS 11451+0105|JP11  5144|JP11  5186|JP11  5145|LFT  852|LHS   315|LTT 13240|MCC 286|NLTT 28570|PM 11452+0106|Ross  128|UBV M  42951|USNO 615|USNO 840|V* FI Vir|VVO 214|Zkh 169|[GKL99] 248|[RHG95]  1849|2MASS J11474440+0048164|PLX 2730.00|1RXS J114744.7+004831|2E 1145.1+0105|RX J1147.7+0048|TYC  272-1051-1|GSC 00272-01051|[ZEH2003] RX J1147.7+0048  1|GAT 1131|Gaia DR2 3796072592206250624|WISEA J114744.81+004803.7|UCAC4 455-052049|PM J11477+0048|EPIC 201518346|Gaia DR1 3796072587910775936|GALEX 3196326618938216349|WEB 10335,FALSE,FALSE,TRUE,
GL581,6322070093095493504,,,,,,GL581|Gaia DR2 6322070093095493504|WISEA J151925.96-074321.2|PM J15194-0743E|StKM 2-1135|TYC 5594-1093-1|PLX 3458|8pc 159.52|BD-07  4003|Ci 20  923|G 151-46|G 152-9|GCRV  8863|GEN# -0.00704003|GJ   581|GSC 05594-00593|HIC  74995|HIP  74995|JP11   273|LFT 1195|LHS   394|LPM 564|LTT  6112|MCC 159|NLTT 39886|NSV  7023|UBV   13194|UBV M   5243|V* HO Lib|Wolf  562|Zkh 217|[RHG95]  2420|PLX 3458.00|2MASS J15192689-0743200|UCAC3 165-136246|DENIS J151926.8-074319|UCAC2  29110263|UCAC4 412-059591|Gaia DR1 6322069882641960448|WEB 12795,FALSE,FALSE,TRUE,
V1298TAU,51886335968692480,,,,,,V1298TAU|K2-309|BD+19   656|2MASS J04051959+2009256|TYC 1258-338-1|GSC 01258-00338|[WKS96]  4|SSTc2d J040519.6+200926|1RXS J040518.6+200919|1SWASP J040519.59+200925.5|RX J0405.3+2009|V* V1298 Tau|GALEX J040519.5+200925|EPIC 210818897|Gaia DR1 51886331671914496|Gaia DR2 51886335968692480,FALSE,FALSE,TRUE,
GL169.1A,470826482635704064,,,,,,GL169.1A|Karmn J04311+589|ASCC  176742|2MASS J04311147+5858375|USNO-B1.0 1489-00136092|8pc 181.36A|CCDM J04312+5858A|CSI+58-04268  1|G 175-34A|GJ   169.1 A|IDS 04224+5849 A|JP11  5943|LHS    26|NLTT 13373|UBV    4295|USNO 120|USNO 807|Zkh  62|[RHG95]   780|LSPM J0431+5858W|WDS J04312+5858A|** STN 2051A|Gaia DR2 470826482635704064|IRAS 04268+5852|AKARI-IRC-V1 J0431126+585823|WISE J043113.20+585816.7|UCAC4 745-033846|NAME Stein 2051 A|WISEA J043113.21+585816.7|PM J04311+5858|NAME Stein 2051A,FALSE,FALSE,TRUE,
GJ3378,999747822484300800,,,,,,GJ3378|LFT  443|NLTT 15885|LSPM J0601+5935|2MASS J06011106+5935508|USNO-B1.0 1495-00160060|8pc 132.10|G 192-13|GJ  3378|L 1813-21|LHS  1805|LP   86-137|LTT 11755|[RHG95]   998|PLX 1373.01|WISEA J060110.89+593540.3|PM J06011+5935|Gaia DR2 999747822484300800,FALSE,FALSE,TRUE,
GL251,939072613334579328,,,,,,GL251|Karmn J06548+332|2MASS J06544902+3316058|IRAS 06515+3320|PLX 1609|LSPM J0654+3316|TYC 2441-572-1|ASCC  574333|UCAC2  43431171|USNO-B1.0 1232-00178536|8pc 181.32|AC +33 25644|CSI+33-06516|Ci 20  400|G  87-12|G 103-68|GCRV  4506|GEN# +9.80087012|GEN# +6.10010251|GJ   251|HD 265866|HIC  33226|HIP  33226|JP11  5122|JP11  5121|JP11  5123|JP11  5120|LFT  497|LHS  1879|LTT 11941|MCC 482|NLTT 17147|UBV M  42939|Wolf  294|Zkh  95|[RHG95]  1094|PLX 1609.00|WISEA J065448.38+331601.2|UCAC4 617-038292|StKM 2-440|PM J06548+3316|Gaia DR1 939072609037892224|WEB  6685|Gaia DR2 939072613334579328,FALSE,FALSE,TRUE,
GJ1105,922225002820369152,,,,,,GJ1105|Karmn J07582+413|TYC 2968-1142-1|PM J07582+4118|UCAC4 657-049582|LSPM J0758+4118|ASCC  402755|UCAC2  46137824|USNO-B1.0 1313-00192853|G 111-47|GEN# +9.80111047|GJ  1105|HIC  38956|HIP  38956|LHS  1963|NLTT 18699|UBV M  53745|USNO 133|Zkh 115|[RHG95]  1247|2MASS J07581269+4118134|PLX 1875.01|Gaia DR2 922225002820369152,FALSE,FALSE,TRUE,
PMJ08402+3127,709563717249089792,,,,,,PMJ08402+3127|Karmn J08402+314|2MASS J08401597+3127068|USNO-B1.0 1214-00166608|LSPM J0840+3127|UCAC4 608-044702|PM J08402+3127|Gaia DR2 709563717249089792,FALSE,FALSE,TRUE,
GJ1148,772430527947893632,,,,,,GJ1148|Karmn J11417+427|Gaia DR1 772430901610348032|WISEA J114144.08+424506.2|Gaia DR2 772430527947893632|TYC 3016-1877-1|PM J11417+4245|UCAC4 664-056772|LSPM J1141+4245|ASCC  408337|UCAC2  46566670|G 122-40|GJ  1148|HIC  57050|HIP  57050|LFT  836|LHS  2443|LTT 13210|NLTT 28266|Ross 1003|USNO 725|[RHG95]  1827|2MASS J11414471+4245072|USNO-B1.0 1327-00279297|PLX 2703.01|HAT 141-00143,FALSE,FALSE,TRUE,
GJ1151,786834302079285632,,,,,,GJ1151|ILT J115055.50+482225.2|Karmn J11509+483|LSPM J1150+4822|NLTT 28752|2MASS J11505787+4822395|USNO-B1.0 1383-00239712|G 122-49|GEN# +9.80122049|GJ  1151|LHS   316|PM 11485+4840|UBV M  53759|USNO 144|Zkh 171|[RHG95]  1854|PLX 2739.01|Gaia DR2 786834302079285632|WISEA J115056.09+482228.4|StKM 2-769|PM J11509+4822|GALEX 3858637239337622240,FALSE,FALSE,TRUE,
TWHYA,5401795662560500352,,,,,,TWHYA|1RXP J110152.0-344212|1RXS J110152.0-344212|2MASS J11015191-3442170|AAVSO 1057-34|CD-34  7151|GSC 07208-00347|HBC 568|HIC  53911|HIP  53911|Hen 3-549|IRAS 10594-3426|PDS  42|TWA 1|TYC 7208-347-1|UCAC2  17035364|V* TW Hya|[DML87] 277|[TDQ2000] TRX  9|Gaia DR2 5401795662560500352|SV* HV  4089|JCMTSE J110152.0-344214|JCMTSF J110152.0-344214|PSCz P10594-3426|ASAS J110152-3442.3|AKARI-FIS-V1 J1101516-344214|UCAC4 277-058769|PM J11018-3442|Gaia DR1 5401795658263638912,FALSE,FALSE,TRUE,
GJ1154,3698534434669937024,,,,,,GJ1154|RX J1214.2+0037|1RXS J121417.5+003730|Karmn J12142+006|LSPM J1214+0037|NLTT 30062|2MASS J12141654+0037263|USNO-B1.0 0906-00208882|G  13-22|GEN# +9.80013022|GJ  1154|LHS  2531|LTT 13408|UBV M  53449|USNO 236|Zkh 176|[GKL99] 253|PLX 2817.01|[RHG95]  1923|[ZEH2003] RX J1214.2+0037  3|UCAC3 182-116001|UCAC4 454-051105|WISEA J121415.86+003723.3|PM J12142+0037|Gaia DR2 3698534434669937024,FALSE,FALSE,TRUE,
GL480,3928391218812375808,,,,,,GL480|PLX 2915|LSPM J1238+1141|ASCC  954292|USNO-B1.0 1016-00213233|CSI+11-12364|Ci 20  726|G  60-24|G  61-5|GCRV  7601|GEN# +9.80060024|GJ   480|HIC  61706|HIP  61706|LFT  933|LHS   338|LTT 13588|NLTT 31394|PM 12364+1158|Wolf  433|Zkh 185|[RHG95]  1988|2MASS J12385241+1141461|PLX 2915.00|TYC  878-1104-1|WISEA J123851.61+114143.5|UCAC4 509-053260|PM J12388+1141|GALEX 3085073634393327396|WEB 10979|Gaia DR2 3928391218812375808,FALSE,FALSE,TRUE,
GL445,1129149723913123456,,,,,,GL445|2MASS J11474143+7841283|PLX 2722|AC +79  3883-0|LSPM J1147+7841|ASCC   34165|USNO-B1.0 1686-00047479|8pc 185.48|AC +79  3888|AC +79  3888-0|CSI+78-11446|G 254-29|GCRV  7135|GEN# +9.80254029|GEN# +6.10010445|GJ   445|HIC  57544|HIP  57544|JP11  5142|LFT  849|LHS  2459|LTT 13235|NLTT 28539|TYC 4553-192-1|Zkh 168|[RHG95]  1845|PLX 2722.00|UCAC4 844-010540|PM J11476+7841|Gaia DR1 1129149719617136384|WEB 10334|Gaia DR2 1129149723913123456,FALSE,FALSE,TRUE,
GL617B,1642642957122493824,,,,,,GL617B|LSPM J1616+6715|TYC 4195-1167-1|ASCC   86598|AC +67  5226|AC +67  5226-0|CCDM J16167+6715B|CSI+67   935  2|G 240-15|G 225-58|G 257-33|GCRV 66176|GEN# +1.00147379B|GEN# +1.20147379|GJ   617 B|GSC 04195-01167|HIC  79762|HIP  79762|IDS 16166+6729 B|IDS 16165+6729 B|LFT 1264|LHS  3176|LTT 14864|NLTT 42489|UBV   13870|V* EW Dra|VVO 405|[RHG95]  2567|2MASS J16164537+6715224|USNO-B1.0 1572-00194547|WDS J16167+6714B|** ENG   57B|WISEA J161644.44+671523.3|UCAC4 787-024324|PM J16167+6715|Gaia DR1 1642642952826225024|GALEX 6370950986031173392|WEB 13499|Gaia DR2 1642642957122493824,FALSE,FALSE,TRUE,
GJ4063,2110165780975185792,,,,,,GJ4063|Karmn J18346+401|PM J18346+4007W|LSPM J1834+4007|ASCC  421007|UCAC2  45843486|USNO-B1.0 1301-00298017|GJ  4063|LP  229-17|NLTT 46690|TYC 3109-1699-1|[RHG95]  2921|2MASS J18343664+4007266|WISEP J183436.70+400724.3|WISEA J183436.71+400724.2|UCAC4 651-063412|StKM 2-1382|[GAL2014] J18346+4007|Gaia DR2 2110165780975185792,FALSE,FALSE,TRUE,
V*CWUMA,758200712885953280,,,,,,V*CWUMA|ASCC  585783|LSPM J1111+3332W|USNO-B1.0 1235-00200538|2MASS J11115176+3332111|CSV   1710|G 119-62|GJ  3647|NLTT 26581|RBS   949|SV* P   719|SV* SVS   314|V* CW UMa|[GKL99] 235|[RHG95]  1742|PLX 2604.01|1RXS J111151.8+333213|RX J1111.8+3332|[ZEH2003] RX J1111.8+3332  1|HAT 228-00237|UCAC4 618-048637|StKM 2-708|PM J11118+3332S|Gaia DR2 758200712885953280,FALSE,FALSE,TRUE,
