who,obsdirs
Pierrot,"2024-08-08, 2024-08-09, 2024-08-10, 2024-08-11, 2024-10-30, 2024-10-31, 2024-11-01, 2024-11-02, 2024-11-03"
Alexandrine,2024-09-09
Thomas,"2024-08-16, 2024-08-17, 2024-10-08, 2024-10-12, 2024-10-13"
Neil,"2024-08-21, 2024-08-25, 2024-10-14, 2024-10-15"
Etienne,"2024-10-01, 2024-10-05, 2024-10-06"
Romain,"2024-10-22, 2024-10-24, 2024-10-25"
Leslie,"2024-08-27, 2024-08-28, 2024-08-29, 2024-08-30, 2024-08-31, 2024-09-01"
Laurie,"2024-09-02, 2024-09-03, 2024-09-04, 2024-09-05, 2024-09-06, 2024-09-07, 2024-09-08, 2024-09-20, 2024-09-21, 2024-09-22"
Luc,2024-08-01
