who,obsdirs
Luc,"2024-02-18, 2024-04-11, 2024-04-13"
Laurie,2024-06-21
Leslie,"2024-01-08, 2024-01-09, 2024-01-10, 2024-01-11, 2024-01-14, 2024-02-19, 2024-02-20, 2024-02-21, 2024-02-22, 2024-02-23, 2024-05-03, 2024-07-04"
Pierrot,"2024-01-22, 2024-03-26, 2024-03-31, 2024-07-10"
Alexandrine,"2024-01-01, 2024-01-02, 2024-01-03, 2024-01-04, 2024-01-05, 2024-01-06, 2024-01-07, 2024-09-15"
Neil,2024-04-24
Rose,"2024-02-08, 2024-04-03"
Romain,"2024-06-05, 2024-06-07"
Thomas,2024-01-16
